thesaurus,la,n
gratis,la,adv
aquila,la,n
December,la,adj
September,la,adj
October,la,adj
November,la,adj
a-,la,p
a-,la,p
ab-,la,p
abactor,la,n
abactor,la,inf
abacus,la,n
abacus,la,inf
abdomen,la,n
abdomen,la,inf
abscissa,la,n
raptor,la,n
lente,la,adv
absinthium,la,n
absinthium,la,inf
accurate,la,adv
de,la,adv
color,la,n
color,la,inf
die,la,n
in,la,p
lens,la,n
o,la,intj
acicula,la,n
dies,la,n
dies,la,inf
dies,la,n
is,la,v
is,la,p
cum,la,s
cum,la,conj
os,la,n
os,la,inf
os,la,n
os,la,inf
os,la,n
libero,la,v
libero,la,inf
Libya,la,inf
tax,la,n
consensus,la,n
consensus,la,inf
acacia,la,n
acacia,la,inf
radio,la,v
Cyprus,la,inf
comma,la,n
Mauritania,la,inf
fero,la,v
absolute,la,adv
acanthus,la,n
acanthus,la,inf
eo,la,v
eo,la,inf
eo,la,adv
eo,la,p
accumulate,la,adv
Achilles,la,n
phoenix,la,n
phoenix,la,inf
index,la,n
it,la,v
here,la,adv
here,la,n
dare,la,v
tuba,la,n
tuba,la,inf
dictionarium,la,n
sol,la,n
animal,la,n
animal,la,inf
at,la,conj
for,la,v
an,la,conj
copula,la,n
qua,la,adv
qua,la,s
species,la,n
as,la,n
facere,la,v
mundo,la,n
bee,la,intj
non,la,adv
male,la,adv
alligator,la,n
sepia,la,n
sepia,la,inf
sapphire,la,n
abalienatio,la,n
abolla,la,n
abolla,la,inf
abalieno,la,v
abalieno,la,inf
abavus,la,n
abavus,la,inf
abdicatio,la,n
abdico,la,v
abdico,la,v
abdo,la,v
abdo,la,inf
abditus,la,adj
abduco,la,v
abducere,la,v
amor,la,v
amor,la,n
amor,la,inf
acre,la,adj
ver,la,n
vox populi,la,n
me,la,p
me,la,p
pyramis,la,n
re,la,n
in nuce,la,adv
loco,la,adv
loco,la,n
loco,la,v
loco,la,inf
servus,la,n
servus,la,inf
regina,la,n
regina,la,inf
speravi,la,v
exit,la,v
do,la,v
circulus vitiosus,la,n
sana,la,adj
alas,la,n
ad libitum,la,adv
larva,la,n
icon,la,n
met,la,s
sic,la,adv
actor,la,n
factor,la,n
interior,la,adj
apparatus,la,adj
apparatus,la,inf
apparatus,la,n
apparatus,la,inf
camera,la,n
interest,la,v
sit,la,v
analysis,la,n
vel,la,conj
vel,la,n
vero,la,adv
penis,la,n
penis,la,inf
apex,la,n
apex,la,inf
rumor,la,n
lynx,la,n
laser,la,n
et,la,conj
et,la,adv
sal,la,n
sal,la,inf
Africa,la,inf
Asia,la,inf
ano,la,n
ano,la,n
mare,la,n
mare,la,inf
mare,la,n
integer,la,adj
hyperbole,la,n
hyperbole,la,inf
anime,la,n
ore,la,n
acalephae,la,n
rhinoceros,la,n
genitor,la,n
hem,la,intj
ile,la,n
ephebe,la,n
fulcrum,la,n
gratuito,la,adv
senatus,la,n
senatus,la,inf
ha,la,intj
ha,la,n
oxygenium,la,n
ni,la,adv
ni,la,conj
nove,la,adv
arbor,la,n
arbor,la,inf
flos,la,n
flos,la,inf
musica,la,n
libro,la,n
libro,la,v
libro,la,inf
cor,la,n
beta,la,n
beta,la,n
zeta,la,n
universe,la,adv
casa,la,n
casa,la,inf
taurus,la,n
pisces,la,n
genus,la,n
genus,la,inf
ventus,la,n
nucleus,la,n
area,la,n
area,la,inf
aluminium,la,n
phosphorus,la,n
sulfur,la,n
ne,la,conj
ne,la,adv
si,la,conj
ac,la,conj
ac,la,n
ac,la,conj
es,la,v
dator,la,n
mus,la,n
mus,la,inf
laus,la,n
laus,la,inf
laus,la,adj
laus,la,n
omnibus,la,adj
ignis,la,n
ignis,la,inf
vici,la,v
alter,la,adj
alter,la,inf
spectrum,la,n
labor,la,n
labor,la,inf
labor,la,v
